DATE,A939RX0Q048SBEA
2019-01-01,61889.0
2019-04-01,62331.0
2019-07-01,62945.0
2019-10-01,63257.0
2020-01-01,62333.0
2020-04-01,57383.0
2020-07-01,61803.0
2020-10-01,62411.0
2021-01-01,63224.0
2021-04-01,64153.0
2021-07-01,64611.0
2021-10-01,65648.0
2022-01-01,65284.0
2022-04-01,65127.0
2022-07-01,65469.0
2022-10-01,65799.0
2023-01-01,66096.0
2023-04-01,66357.0
2023-07-01,67050.0
2023-10-01,67483.0
