DATE,REAINTRATREARAT10Y
2019-01-01,0.87527494666666666667
2019-04-01,0.46067805666666666667
2019-07-01,0.36520973000000000000
2019-10-01,0.43873377000000000000
2020-01-01,0.23108155000000000000
2020-04-01,-0.09771676666666666667
2020-07-01,-0.36527181000000000000
2020-10-01,-0.24600518333333333333
2021-01-01,-0.15111138000000000000
2021-04-01,0.04977655666666666667
2021-07-01,-0.14023619333333333333
2021-10-01,0.11452939666666666667
2022-01-01,0.36939263666666666667
2022-04-01,1.05946384666666666667
2022-07-01,1.04068297000000000000
2022-10-01,1.7680567433333333
2023-01-01,1.7543125000000000
2023-04-01,1.3471496633333333
2023-07-01,1.5759500766666667
2023-10-01,1.9525628233333333
